순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
,,,타석,,,,,,,,,,,,,,,,,,,,타율,출루,장타,OPS,wOBA,wRC+,,
1,박해민,18삼CF,649,144,649,576,114,172,30,10,9,249,68,36,10,56,3,0,99,9,8,6,0.299,0.36,0.432,0.793,0.347,99.1,3.2,1.95
2,로하스,18KCF,645,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,0.305,0.388,0.59,0.979,0.41,138.5,5.66,5.41
3,손아섭,18롯RF,625,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,0.329,0.404,0.546,0.95,0.409,138.6,5.3,4.35
4,나성범,18NRF,620,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,0.318,0.381,0.518,0.899,0.387,126.6,4.51,4.73
5,오지환,18LSS,617,144,617,533,93,148,26,2,11,211,71,10,5,59,7,3,146,6,12,6,0.278,0.354,0.396,0.75,0.329,89.4,2.83,2.62
6,로맥,18S1B,616,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,0.316,0.404,0.597,1.001,0.422,144.1,4.78,3.95
7,전준우,18롯LF,614,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,0.342,0.4,0.592,0.991,0.421,146.3,5.67,5.45
8,최형우,18KLF,609,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,0.339,0.414,0.549,0.963,0.411,143.4,4.94,5.7
9,이대호,18롯DH,604,144,604,543,81,181,30,0,37,322,125,0,1,43,14,7,75,18,0,4,0.333,0.394,0.593,0.987,0.415,142.3,3.84,4.34
10,김재환,18두LF,602,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,0.334,0.405,0.657,1.062,0.438,168.8,6.94,5.8
11,러프,18삼1B,597,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,0.33,0.419,0.605,1.024,0.432,152.9,5.28,5.89
12,호잉,18한RF,590,142,590,529,85,162,47,2,30,303,110,23,9,51,5,10,93,5,0,5,0.306,0.37,0.573,0.942,0.391,124.8,3.72,4.72
,버나디나,18KCF,590,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,0.31,0.395,0.487,0.883,0.385,125.4,4.55,3.55
,최주환,18두DH,590,138,590,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10,0.333,0.397,0.582,0.979,0.413,148.6,4.66,3.9
15,황재균,18K3B,588,142,588,530,76,157,41,3,25,279,88,14,7,49,4,1,120,5,2,3,0.296,0.358,0.526,0.885,0.376,115.5,3.4,1.96
,노수광,18SCF,588,135,588,515,93,161,21,8,8,222,53,25,4,48,13,0,86,3,9,3,0.313,0.383,0.431,0.815,0.36,107.9,3.03,3.46
17,김헌곤,18삼LF,586,141,586,513,77,154,26,2,11,217,71,22,9,54,10,1,70,13,5,4,0.3,0.375,0.423,0.798,0.355,103.9,1.99,-0.57
18,강백호,18KLF,585,138,585,527,108,153,32,2,29,276,84,3,5,52,3,0,124,4,0,3,0.29,0.356,0.524,0.879,0.375,115.3,2.1,2.81
19,박용택,18LDH,583,134,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,0.303,0.362,0.466,0.828,0.362,112.7,1.38,2.63
20,채은성,18LRF,578,139,578,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5,0.331,0.379,0.548,0.927,0.396,137.5,4.73,3.44
21,허경민,18두3B,577,133,577,516,85,167,30,5,10,237,79,20,4,32,16,0,52,15,5,8,0.324,0.376,0.459,0.835,0.366,113.4,3.56,1.89
22,김하성,18넥SS,576,129,576,511,95,147,27,4,20,242,84,8,2,54,5,2,81,16,1,5,0.288,0.358,0.474,0.832,0.36,108.5,3.56,1.01
23,이용규,18한CF,575,134,575,491,82,144,14,1,1,163,36,30,11,59,12,0,62,8,8,5,0.293,0.379,0.332,0.711,0.331,88.6,1.84,-0.72
24,스크럭스,18N1B,571,142,571,501,75,129,35,0,26,242,97,3,2,55,12,2,144,14,0,3,0.257,0.343,0.483,0.826,0.355,103.4,1.41,2.57
25,한유섬,18SRF,562,136,562,486,97,138,31,0,41,292,115,4,2,52,16,3,124,10,0,8,0.284,0.367,0.601,0.967,0.399,129.8,3.53,4.03
26,안치홍,18K2B,549,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,0.342,0.392,0.563,0.954,0.407,140.3,4.98,4.06
27,이원석,18삼3B,543,128,543,479,74,144,30,1,20,236,93,2,1,52,7,1,103,10,0,5,0.301,0.374,0.493,0.867,0.376,116.9,3.35,3.82
28,구자욱,18삼RF,529,116,529,478,100,159,26,5,20,255,84,10,0,43,5,2,110,4,1,2,0.333,0.392,0.533,0.926,0.398,131.9,3.91,4.23
,박건우,18두CF,529,125,529,488,79,159,24,6,12,231,84,7,3,28,10,1,65,14,1,2,0.326,0.373,0.473,0.847,0.371,117.5,3.42,3.97
30,이성열,18한DH,528,131,528,485,76,143,21,1,34,268,102,9,7,35,5,3,143,9,1,2,0.295,0.347,0.553,0.9,0.377,114.2,1.87,3.15
