,이름,팀,타석,타수,득점,루타,타점,볼넷,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
27,강민호,18삼C,477,427,46,195,71,29,0.269,0.331,0.457,0.788,0.337,90.2,1.97,-0.83
77,강민호,19삼C,393,346,36,140,45,33,0.234,0.315,0.405,0.719,0.327,92.2,1.84,0.46
115,강민호,20삼C,393,355,46,173,61,31,0.287,0.349,0.487,0.836,0.37,113.2,3.02,0.55
153,강민호,21삼C,462,406,55,194,67,45,0.291,0.362,0.478,0.839,0.38,123.6,3.86,1.49
195,강민호,22삼C,444,396,38,162,66,41,0.258,0.33,0.409,0.739,0.335,103.6,2.11,0.55
10,강백호,18KLF,585,527,108,276,84,52,0.29,0.356,0.524,0.879,0.375,115.3,2.1,2.81
63,강백호,19KRF,505,438,72,217,65,61,0.336,0.416,0.495,0.911,0.415,156.0,4.69,3.78
93,강백호,20K1B,574,500,95,272,89,66,0.33,0.411,0.544,0.955,0.421,149.3,4.75,3.13
127,강백호,21K1B,627,516,76,269,102,103,0.347,0.45,0.521,0.971,0.443,165.5,6.35,5.78
205,강백호,22KDH,264,237,24,88,29,23,0.245,0.312,0.371,0.683,0.312,88.8,0.02,0.16
16,구자욱,18삼RF,529,478,100,255,84,43,0.333,0.392,0.533,0.926,0.398,131.9,3.91,4.23
59,구자욱,19삼RF,526,475,66,211,71,38,0.267,0.327,0.444,0.771,0.348,107.8,1.98,1.16
105,구자욱,20삼LF,510,446,70,213,78,51,0.307,0.385,0.478,0.863,0.387,126.6,3.39,4.53
130,구자욱,21삼RF,610,543,107,282,88,48,0.306,0.361,0.519,0.881,0.394,134.0,5.0,3.48
192,구자욱,22삼RF,442,409,69,163,37,27,0.291,0.338,0.399,0.736,0.338,107.1,1.91,-0.31
22,김상수,18삼SS,499,453,63,164,50,27,0.263,0.314,0.362,0.676,0.299,67.1,0.44,-1.49
54,김상수,19삼2B,543,468,76,166,38,50,0.271,0.358,0.355,0.712,0.334,100.0,2.98,-1.97
109,김상수,20삼2B,471,404,71,162,47,55,0.304,0.397,0.401,0.798,0.372,118.5,3.27,0.76
144,김상수,21삼2B,496,429,46,129,42,52,0.235,0.32,0.301,0.62,0.298,71.7,0.38,-1.26
206,김상수,22삼SS,260,235,30,76,29,18,0.251,0.305,0.323,0.628,0.291,75.2,0.56,-0.79
23,김선빈,18KSS,492,424,73,158,49,48,0.295,0.375,0.373,0.747,0.339,94.5,2.1,1.23
73,김선빈,19KSS,447,394,55,146,40,43,0.292,0.36,0.371,0.73,0.34,103.9,2.27,1.05
119,김선빈,20K2B,351,303,42,122,37,40,0.33,0.406,0.403,0.808,0.378,121.2,2.26,1.07
135,김선빈,21K2B,564,501,55,201,67,56,0.307,0.375,0.401,0.776,0.366,116.0,3.42,3.06
