,이름,키,몸무게
5,김성현,172,72
8,최정,180,90
9,최주환,178,73
15,한유섬,190,105
16,오태곤,186,88
21,김혜성,180,80
39,오지환,186,80
45,박해민,180,75
46,김현수,188,100
59,장성우,187,100
65,김상수,175,68
66,황재균,183,96
68,강백호,184,98
69,박병호,185,107
82,김선빈,165,77
92,최형우,180,106
97,박민우,185,80
107,손아섭,174,84
109,박건우,184,80
111,강민호,185,100
120,오재일,187,95
123,구자욱,189,75
138,유강남,182,88
144,전준우,184,98
146,한동희,182,108
147,노진혁,184,80
157,양의지,180,95
161,허경민,176,69
164,김재호,181,75
168,김재환,183,90
172,최재훈,178,94
180,정은원,177,84
183,채은성,186,92
186,이원석,177,69
189,이정후,185,86
190,이재원,185,100
191,안치홍,178,90
192,이명기,183,87
193,이지영,177,88
194,김헌곤,174,81
